"Student.No","Grade","Pass","Sat","GPP"
1,"D",0,525,"B"
2,"D",0,533,"C"
3,"B",1,545,"B"
4,"D",0,582,"A"
5,"C",1,581,"C"
6,"B",1,576,"D"
7,"C",1,572,"B"
8,"A",1,609,"A"
9,"C",1,559,"C"
10,"C",1,543,"D"
11,"B",1,576,"B"
12,"B",1,525,"A"
13,"C",1,574,"F"
14,"C",1,582,"D"
15,"B",1,574,"C"
16,"D",0,471,"B"
17,"B",1,595,"B"
18,"D",0,557,"C"
19,"F",0,557,"A"
20,"B",1,584,"A"
21,"A",1,599,"B"
22,"D",0,517,"C"
23,"A",1,649,"A"
24,"B",1,584,"C"
25,"F",0,463,"D"
26,"C",1,591,"B"
27,"D",0,488,"C"
28,"B",1,563,"B"
29,"B",1,553,"B"
30,"A",1,549,"A"
